"time","xAngle","gyroXangle","compAngleX","kalAngleX","yAngle","gyroYangle","compAngleY","kalAngleY"
165,75.2241,116.424,116.254,51.3676,-45.5209,135.229,55.7214,73.5909
166,74.1397,123.343,119.741,54.1381,-46.3684,145.366,58.003,74.4599
167,73.942,130.226,122.936,56.7472,-48.1664,155.534,60.0274,75.1165
168,73.1093,137.49,126.204,59.5619,-0.211794,165.598,65.1704,77.8958
169,72.9296,145.062,129.517,62.5363,-0.361819,175.741,70.0158,80.5347
170,73.0365,153.206,133.137,65.9222,-0.48047,82.9897,74.5392,82.9897
171,72.6168,162.216,137.28,69.9506,-0.572083,93.2873,78.8582,85.3638
172,72.1504,172.168,141.976,74.6512,-49.8409,103.581,79.4222,85.103
173,73.0987,172.521,137.483,70.041,-49.0362,113.884,80.0125,84.7816
174,73.7786,173.441,133.879,66.234,-48.6208,124.189,80.591,84.3753
175,72.6613,174.773,130.833,62.9409,-48.4598,134.436,81.0875,83.8057
176,73.1841,176.493,128.397,60.2283,-0.531736,144.717,84.9355,85.5539
177,73.5086,178.802,126.702,58.2397,-48.3603,154.99,85.1587,84.7676
178,72.9592,56.8577,125.598,56.8577,-0.768485,165.282,88.7158,86.2681
179,73.3886,60.1462,125.002,55.9913,-47.4471,175.602,88.7815,85.3361
180,73.7799,63.8697,124.879,55.6145,-1.02766,175.654,82.5431,76.8596
181,74.2621,67.7163,124.913,55.4143,-45.1431,175.757,73.7006,66.5999
182,75.3746,71.513,124.976,55.2498,-0.105327,175.856,68.6263,58.967
183,74.7884,75.5142,125.184,55.2754,-44.4087,175.977,60.8272,49.4882
184,74.8078,79.4874,125.353,55.2904,-44.0954,176.051,53.5508,40.3595
185,3.61455,83.5061,120.569,51.8392,-74.6512,176.169,44.6866,30.1278
186,10.396,87.5006,116.572,48.8373,-0.534761,176.242,41.5887,23.9352
187,17.177,91.3263,113.172,46.1226,-74.7423,176.311,33.5098,14.3554
188,20.5036,95.0161,110.117,43.5502,-74.6699,176.397,26.0174,5.18689
189,22.8724,98.5802,107.324,41.0815,-74.5477,176.475,19.0508,-3.60315
190,25.5551,101.925,104.711,38.6439,-74.2206,176.559,12.5992,-12.0014
191,29.6094,105.046,102.356,36.3016,-74.2242,176.615,6.57384,-20.0681
192,35.5558,107.839,100.278,34.0533,-73.6529,176.649,0.9898,-27.776
193,40.4068,110.047,98.1402,31.5988,-72.9525,176.655,-4.18103,-35.1402
194,44.3755,111.687,95.9019,28.9316,-0.777101,176.741,-3.86208,-38.5297
195,45.5893,112.413,93.0556,25.6016,-71.791,176.837,-8.52821,-45.2181
196,46.2684,122.68,99.3284,31.5579,-72.6362,-41.9726,-3.46834,-41.9726
197,45.9271,132.139,104.388,36.4472,-71.7359,-31.728,1.28046,-38.8937
198,46.1,140.851,108.409,40.4023,-72.7248,-21.5217,5.59188,-36.081
199,40.6102,148.824,111.078,43.1956,-73.3806,-11.4044,9.47293,-33.5565
200,37.3668,156.207,112.784,45.1264,-72.2182,-1.14592,13.2949,-31.0017
201,30.2631,163.257,113.564,46.2873,-75.2118,9.13357,16.6594,-28.7391
202,25.1058,169.936,113.584,46.7696,-73.3461,19.4348,19.9392,-26.5179
203,23.1448,176.455,113.316,46.956,-0.0992637,29.6538,28.0401,-20.9109
204,18.9178,46.6976,112.568,46.6976,-75.1818,39.8847,30.3293,-19.2583
205,13.4299,52.9673,111.459,46.1243,-0.716107,50.1461,37.6992,-14.032
206,9.55615,59.2612,110.179,45.3821,-74.5791,60.4174,39.3921,-12.6901
207,4.52908,65.4432,108.533,44.2878,-0.248446,70.728,46.2061,-7.76292
208,74.5666,71.5965,111.878,46.646,-44.3208,81.0372,49.4568,-5.24874
209,74.4794,77.8651,115.09,49.0166,-44.6964,91.3327,52.4408,-2.92839
210,71.543,84.6677,118.368,51.6556,-47.7016,101.628,55.0054,-0.910205
211,72.657,91.7349,121.741,54.4911,-0.561901,111.868,60.6394,3.24483
212,72.7441,99.5528,125.582,57.9186,-0.112409,122.096,65.8982,7.19807
213,73.5245,108.032,129.823,61.8591,-0.595948,132.266,70.7021,10.8732
214,72.4811,117.211,134.345,66.2283,-0.7686,142.436,75.1571,14.3461
215,73.2051,126.996,139.166,71.0012,-1.06367,152.675,79.3437,17.6862
216,72.2793,127.311,134.777,66.4912,-47.5776,162.967,80.0312,18.596
217,72.498,128.19,131.235,62.7539,-0.323638,173.263,83.9812,21.7353
218,72.9737,129.378,128.261,59.5298,-0.991342,173.289,78.0574,14.9069
219,73.2636,131.097,126.01,56.9955,-0.354624,173.32,72.5974,8.43696
220,73.3941,133.208,124.29,54.9809,-0.673486,173.378,67.5221,2.28823
221,73.9099,135.617,123.004,53.3908,-0.232536,173.406,62.8053,-3.56708
222,73.0896,138.266,121.974,52.0634,-0.849363,173.495,58.4328,-9.12912
223,73.8987,141.334,121.462,51.275,-0.323789,173.542,54.3636,-14.4033
224,2.66745,144.706,116.282,47.316,-74.6467,173.605,45.3909,-23.0615
225,0.242561,148.219,111.426,43.5305,-0.39575,173.715,42.2884,-27.6182
226,4.88276,151.836,107.332,40.2221,-0.821445,173.792,39.3422,-31.9763
227,9.39226,155.574,103.952,37.3831,-74.7036,173.891,31.4517,-39.7189
228,14.4144,159.331,101.179,34.9247,-0.669947,173.983,29.2882,-43.4614
229,17.3304,163.093,98.8078,32.716,-74.6105,174.066,22.093,-50.6423
230,22.9556,166.799,96.9453,30.8302,-74.6671,174.166,15.4122,-57.4758
231,28.9957,170.31,95.4541,29.143,-74.1776,174.26,9.22876,-63.968
232,34.5325,173.406,94.0691,27.4193,-73.6872,174.409,3.56294,-70.0715
233,36.7324,175.918,92.3913,25.3375,-73.1822,174.601,-1.63093,-75.8143
234,40.9927,178.043,90.7695,23.1645,-73.0102,174.618,-6.61162,-81.4843
235,36.9282,179.621,88.4678,20.4351,-3.04491,174.721,-6.26629,-83.2773
236,45.6064,17.772,86.4328,17.772,-72.0775,-78.588,-1.2548,-78.588
237,46.1102,17.8951,83.7247,14.4127,-71.6656,-68.2699,3.41234,-74.1376
238,46.7867,27.8177,90.367,20.607,-72.712,-68.2258,-1.87538,-79.7109
239,42.8849,37.0798,95.657,25.7031,-72.8134,-68.2058,-6.8224,-85.0243
240,40.9003,45.8738,100.002,30.0181,-73.217,-68.2028,-11.4672,-90.1021
241,39.3146,54.2821,103.574,33.6862,-73.5558,-57.9186,-6.24919,-85.1555
242,37.3396,62.3837,106.472,36.7917,-73.5167,-47.686,-1.44161,-80.4866
243,39.7744,70.0688,108.95,39.4668,-73.0892,-37.5043,3.01212,-76.0716
244,35.7076,76.9828,110.253,41.0788,-1.55392,-27.1832,12.2911,-68.1995
245,30.8498,83.5366,110.79,42.021,-73.9207,-16.8859,15.8327,-64.2591
246,26.1782,89.7511,110.647,42.355,-74.6075,-6.56474,19.1006,-60.5312
247,21.0283,95.6772,109.885,42.1296,-0.502692,3.73743,27.3094,-53.3544
248,15.8474,101.384,108.61,41.431,-75.133,14.0399,29.7197,-50.174
249,12.1225,106.883,106.969,40.3608,-0.304444,24.341,37.1981,-43.4761
250,5.37099,112.266,104.864,38.8743,-75.0936,34.6224,38.8993,-40.786
251,75.5627,117.586,107.76,40.8395,-0.0136666,44.9271,45.7588,-34.5272
252,75.5397,122.845,110.395,42.6812,-44.7917,55.1991,48.9733,-30.7885
253,75.0061,128.015,112.726,44.3488,-45.5803,65.4066,51.8475,-27.3509
254,74.2584,134.118,115.71,46.814,-0.0560626,75.6177,57.7106,-21.8444
255,71.9399,141.073,119.114,49.877,-47.8908,85.7141,59.7081,-19.0643
256,71.275,148.807,122.958,53.5171,-0.83314,95.848,64.8948,-14.085
257,72.9341,157.663,127.692,58.1426,-49.4809,105.955,66.2879,-11.7688
258,72.8124,167.426,132.93,63.409,-49.8545,116.047,67.5434,-9.63524
259,73.2708,167.718,129.025,59.4436,-49.601,126.159,68.7479,-7.61116
260,73.4882,168.768,126.114,56.4185,-1.16185,136.296,73.2814,-3.30861
261,73.3377,170.306,123.85,54.0161,-0.884872,146.514,77.5926,0.875757
262,73.4297,172.109,121.998,52.0059,-0.3558,156.791,81.6939,4.93305
263,73.5658,174.014,120.379,50.2185,-0.211103,156.814,75.9817,-0.95522
264,73.8898,175.963,118.937,48.5989,-0.490457,156.93,70.7361,-6.47608
265,73.0203,178.425,118.013,47.5261,-46.7716,157.001,62.5771,-14.05
266,73.6452,46.8372,117.471,46.8372,-45.982,157.112,55.081,-21.206
267,73.6006,49.6792,117.043,46.2866,-45.4094,157.204,48.1325,-28.0201
268,74.1073,52.7357,116.88,46.0173,-0.00348969,157.307,44.8582,-32.2605
269,73.7423,55.6921,116.61,45.6708,-44.6928,157.388,38.6656,-38.4935
270,74.1467,58.731,116.464,45.4675,-44.3444,157.465,32.9262,-44.4091
271,74.5193,61.8903,116.466,45.436,-44.0853,157.547,27.6114,-50.0115
272,0.457645,65.2255,111.447,41.9395,-74.5676,157.632,20.5379,-56.836
273,5.22453,68.7418,107.281,38.9869,-0,157.707,19.1707,-59.6622
274,11.6469,72.3191,103.914,36.5234,-74.731,157.791,12.6756,-65.98
275,16.603,75.8355,101.072,34.3465,-74.3613,157.863,6.64974,-71.9865
276,19.3871,79.2474,98.5275,32.3001,-0,157.947,6.26257,-74.0111
277,23.4996,82.5314,96.3296,30.425,-74.245,158.029,0.703,-79.5381
278,26.8648,85.6269,94.3459,28.6223,-74.2428,158.088,-4.48865,-84.8103
279,31.758,88.4583,92.598,26.8979,-73.9603,158.151,-9.293,-89.7939
280,34.7942,90.9462,90.8654,25.0856,-73.599,158.188,-13.7601,-94.5252
281,37.8351,92.9492,89.0161,23.057,-73.1949,168.524,-8.30722,-89.1973
282,42.2888,94.6077,87.2876,21.0285,-0.0354886,168.597,-7.66071,-90.2677
283,44.7561,95.6776,85.3054,18.6912,-72.4774,168.681,-12.1195,-94.7601
284,45.3321,96.0505,82.8541,15.8564,-72.5126,168.756,-16.2777,-99.0244
285,46.8099,106.029,89.6108,22.3918,-72.3554,168.796,-20.166,-103.08
286,48.687,115.192,95.2677,27.9485,-71.5842,179.085,-14.1961,-97.12
287,48.4051,123.378,99.6006,32.307,-71.8931,-91.5701,-8.78593,-91.5701
288,45.0157,130.656,102.548,35.4344,-72.3625,-81.297,-3.68237,-86.1915
289,35.1416,137.409,104.11,37.4301,-1.15701,-71.064,6.01113,-77.5843
290,29.9968,143.797,104.863,38.7259,-74.1152,-60.8135,9.93528,-72.9194
291,26.3062,149.888,105.029,39.4833,-0.257259,-50.485,18.8272,-64.764
292,22.0209,155.723,104.644,39.7355,-0.0385456,-40.2096,27.0628,-56.9921
293,17.6026,161.337,103.772,39.5152,-75.1512,-29.865,29.5283,-53.2162
294,12.5502,166.784,102.453,38.8823,-0.170909,-19.5368,37.0546,-45.9514
295,4.10358,172.211,100.615,37.8026,-75.2326,-9.16031,38.8446,-42.6867
296,75.1054,177.702,103.936,40.3347,-0.0821421,1.1574,45.7152,-35.9334
297,74.8603,42.8178,107.058,42.8178,-45.2391,11.4717,48.9407,-31.711
298,74.3225,48.5906,110.135,45.3968,-45.8675,21.7465,51.8597,-27.779
299,73.9326,54.6964,113.279,48.1745,-46.6646,31.9525,54.4546,-24.1602
300,72.0455,61.5889,116.803,51.4945,-0.479319,42.0981,60.0446,-18.513
301,71.6553,69.3102,120.824,55.4365,-50.0941,52.253,61.779,-15.5737
302,72.5193,78.4081,125.903,60.5509,-49.4019,62.4131,63.4452,-12.7711
303,72.2567,88.4554,131.492,66.3112,-0.364543,72.5724,68.4266,-7.71891
304,72.6651,89.1244,127.996,62.9012,-49.1644,82.7015,69.6154,-5.34656
305,72.4659,90.5475,125.433,60.3755,-48.5909,92.887,70.8134,-3.04986
306,72.6813,92.5028,123.559,58.5022,-0.0155658,103.124,75.3754,1.54116
307,73.3741,94.6919,122.081,56.9912,-0.0189521,113.364,79.621,5.90746
308,73.914,97.2868,121.123,55.9669,-0.107568,123.682,83.6363,10.1036
309,73.7036,100.167,120.482,55.2818,-0.0401574,123.687,77.7832,4.29645
310,74.4112,103.463,120.323,55.08,-45.461,123.768,69.2316,-3.39821
311,74.925,107.205,120.625,55.3528,-44.6502,123.876,61.3601,-10.6877
312,75.151,110.933,120.908,55.6309,-44.1208,124,54.0924,-17.6014
313,4.65425,114.653,116.231,52.4196,-74.8394,124.075,45.1366,-25.7669
314,6.63251,118.438,112.078,49.4843,-74.7493,124.161,36.8242,-33.556
315,9.94951,122.154,108.385,46.7525,-0.142347,124.231,34.302,-37.3262
316,15.29,125.638,105.108,44.1668,-74.2581,124.315,26.7805,-44.5245
317,16.2744,129.184,102.188,41.7875,-0.842246,124.407,24.9328,-47.7617
318,19.554,132.667,99.643,39.6061,-74.5219,124.473,18.0323,-54.4599
319,23.0796,136.089,97.466,37.6309,-74.4493,124.558,11.6381,-60.8227
320,27.0138,139.396,95.6098,35.8251,-74.3979,124.635,5.68699,-66.8891
321,31.1301,142.505,93.9876,34.1146,-74.217,124.72,0.172938,-72.6471
322,35.0765,145.268,92.4337,32.3532,-0.15582,124.789,0.213442,-74.4772
323,38.043,147.536,90.7356,30.3577,-73.5199,124.795,-4.94217,-79.8326
324,46.2863,149.504,89.4545,28.5899,-72.2597,124.837,-9.61509,-84.8211
325,50.2777,150.846,87.9601,26.5265,-72.2722,135.092,-4.46372,-79.8453
326,50.611,151.391,85.8521,23.8458,-71.829,145.256,0.272645,-75.1734
327,49.5772,161.531,92.743,30.3913,-71.5836,155.365,4.64395,-70.7699
328,46.4023,171.014,98.3191,35.8506,-72.6448,165.439,8.60283,-66.6699
329,47.3019,179.868,102.981,40.4973,-73.3342,175.509,12.2324,-62.8129
330,43.5839,44.1145,106.45,44.1145,-1.16701,-55.6138,20.6387,-55.6138
331,44.5124,51.7348,109.201,47.0226,-72.8622,-45.5902,23.4155,-52.3163
332,39.4475,58.6899,110.787,48.9212,-73.5706,-35.633,25.8867,-49.275
