"time","measured_angle","estimated_angle","estimated_drift"
214,1.85052,0.587588,0.0133049
215,1.64171,0.600406,0.013087
216,9.11698,0.626376,0.0112957
217,4.50596,0.643441,0.010474
218,3.27354,0.658489,0.0099131
219,6.14799,0.678232,0.00873009
220,3.74718,0.693511,0.0080642
221,4.04426,0.709244,0.007331
222,6.39814,0.729335,0.00607456
223,-0.317601,0.73679,0.00631015
224,2.09925,0.74946,0.00600613
225,-0.486671,0.757664,0.00628865
226,-4.96974,0.757507,0.00759934
227,-3.91537,0.760072,0.00867782
228,-0.783483,0.76907,0.00903877
229,-3.96068,0.771573,0.0101476
230,-4.38893,0.772306,0.0113664
231,-6.98299,0.768177,0.013211
232,-4.08921,0.769657,0.0143763
233,-6.26492,0.766668,0.0160755
234,-8.35535,0.758846,0.0182949
235,-5.91172,0.755932,0.0199309
236,-6.6193,0.751477,0.0217532
237,-9.3421,0.741877,0.0242649
238,-7.90466,0.735066,0.0264331
239,-6.71122,0.730395,0.0283145
240,-7.01544,0.725239,0.0302861
241,-7.21991,0.720642,0.0323235
242,-6.77368,0.717874,0.0342598
243,-5.53768,0.718286,0.0358886
244,-5.43611,0.719836,0.037503
245,-5.58015,0.722192,0.0391678
246,-5.58795,0.725545,0.0408475
247,-5.86221,0.7294,0.0426138
248,-6.17375,0.733774,0.044478
249,-6.49128,0.738663,0.046443
250,-5.76441,0.746275,0.048225
251,-6.12474,0.753763,0.0501209
252,-6.04126,0.762086,0.0520093
253,-6.2446,0.770918,0.0539701
254,-6.66228,0.779651,0.0560644
255,-6.3944,0.789901,0.0581003
256,-8.00129,0.797557,0.0606107
257,-10.8847,0.800843,0.0639676
258,-12.852,0.801322,0.0679163
259,-3.33211,0.822716,0.0691261
260,-12.0766,0.824753,0.0729079
261,19.1754,0.891388,0.0675123
262,6.06442,0.924983,0.0659855
263,3.38739,0.95191,0.0652572
264,3.09406,0.977413,0.0646201
265,6.98167,1.01059,0.0628109
266,-6.32827,1.01365,0.06505
267,-4.94471,1.02086,0.0668813
268,-4.22092,1.03024,0.0685037
269,-9.78163,1.02872,0.0718652
270,-11.974,1.02405,0.0759331
271,-4.98328,1.03705,0.0778292
272,-6.89112,1.04647,0.0803452
273,-12.0662,1.04654,0.0845278
274,-1.88959,1.07079,0.0854781
275,1.53524,1.10265,0.0853383
276,-4.87576,1.12024,0.0872872
277,-3.82966,1.14137,0.088913
278,-0.245552,1.17142,0.0893793
279,2.05302,1.20647,0.089099
280,2.55165,1.24199,0.0886627
281,12.8654,1.29994,0.0847861
282,11.1318,1.35219,0.0814881
283,2.1211,1.38396,0.081238
284,9.11924,1.43131,0.078614
285,3.2195,1.46426,0.0780113
286,-2.55058,1.48366,0.0794048
287,-7.02174,1.49328,0.0823637
288,4.89069,1.53092,0.0811893
289,2.14389,1.56108,0.0809844
290,3.19163,1.59342,0.0804191
291,0.186457,1.6188,0.0809287
292,2.57683,1.64972,0.0805969
293,-5.11081,1.66237,0.0830346
294,-0.729511,1.68594,0.083909
295,10.6914,1.73487,0.0806482
